Description,IncidentNum,Location,Agency,Date
ASSAULT-SIMPLE,201651883,800 BLOCK CHERRY AVE,Charlottesville Police,12-17-2016 1:17 AM
DRUG/NARCOTIC VIOLATION,201605172,1000 BLOCK CHERRY AVE,Charlottesville Police,12-15-2016 2:22 PM
LARCENY-THEFT FROM BUILDING,201651478,1000 BLOCK W MAIN ST,Charlottesville Police,12-13-2016 3:34 PM
LARCENY-ALL OTHER LARCENY,201651363,100 BLOCK 14TH ST NW,Charlottesville Police,12-12-2016 4:18 PM
ASSAULT-SIMPLE,201651377,1000 BLOCK CHERRY AVE,Charlottesville Police,12-12-2016 2:38 PM
ASSAULT-SIMPLE,201651353,300 BLOCK 11TH ST NW,Charlottesville Police,12-12-2016 12:10 PM
LARCENY-THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,201651289,200 BLOCK 9TH ST NW,Charlottesville Police,12-11-2016 4:32 PM
ASSAULT-AGGRAVATED,201651280,800 BLOCK CHERRY AVE,Charlottesville Police,12-11-2016 3:46 PM
LARCENY-ALL OTHER LARCENY,201651105,1200 BLOCK WERTLAND ST,Charlottesville Police,12-9-2016 7:50 PM
LARCENY-THEFT FROM BUILDING,201651096,0 BLOCK ELLIEWOOD AVE,Charlottesville Police,12-9-2016 6:15 PM
FRAUD-WIRE FRAUD,201650916,1100 BLOCK W MAIN ST,Charlottesville Police,12-9-2016 12:03 PM
ASSAULT-AGGRAVATED,201650943,100 BLOCK MADISON LN,Charlottesville Police,12-8-2016 2:10 PM
LARCENY-ALL OTHER LARCENY,201650833,1000 BLOCK CHERRY AVE,Charlottesville Police,12-7-2016 3:35 PM
LARCENY - POCKET PICKING,201650652,1500 BLOCK UNIVERSITY AVE,Charlottesville Police,12-5-2016 7:19 PM
LARCENY-ALL OTHER LARCENY,201650542,1500 BLOCK UNIVERSITY AVE,Charlottesville Police,12-4-2016 6:32 PM
VANDALISM/DAMAGE/DESTRUCTION OF PROPERTY,201650485,1400 BLOCK GRADY AVE,Charlottesville Police,12-4-2016 3:55 AM
DRUG/NARCOTIC VIOLATION,201650451,800 BLOCK ESTES ST,Charlottesville Police,12-3-2016 11:35 PM
LARCENY-THEFT FROM BUILDING,201650408,1000 BLOCK W MAIN ST,Charlottesville Police,12-3-2016 12:46 PM
FRAUD-WIRE FRAUD,201650330,1300 BLOCK WERTLAND ST,Charlottesville Police,12-2-2016 10:38 PM
LARCENY-ALL OTHER LARCENY,201650244,1200 BLOCK LEE ST,Charlottesville Police,12-2-2016 6:15 AM
ASSAULT-SIMPLE,201650221,1300 BLOCK WERTLAND ST,Charlottesville Police,12-2-2016 1:05 AM
LARCENY-ALL OTHER LARCENY,201650041,300 BLOCK 15TH ST NW,Charlottesville Police,11-30-2016 3:17 PM
DRUG/NARCOTIC VIOLATION,201650034,1100 BLOCK PAGE ST,Charlottesville Police,11-30-2016 2:41 PM
VANDALISM/DAMAGE/DESTRUCTION OF PROPERTY,201649791,400 BLOCK 14TH ST NW,Charlottesville Police,11-28-2016 12:56 PM
BURGLARY/BREAKING AND ENTERING,201649687,1200 BLOCK WERTLAND ST,Charlottesville Police,11-27-2016 12:00 PM
VANDALISM/DAMAGE/DESTRUCTION OF PROPERTY,201649605,100 BLOCK 14TH ST NW,Charlottesville Police,11-27-2016 7:25 AM
LARCENY-SHOPLIFTING,201649514,1500 BLOCK UNIVERSITY AVE,Charlottesville Police,11-25-2016 4:45 PM
LARCENY-THEFT FROM MOTOR VEHICLE,201649255,900 BLOCK W MAIN ST,Charlottesville Police,11-22-2016 2:44 PM
VANDALISM/DAMAGE/DESTRUCTION OF PROPERTY,201649215,800 BLOCK W MAIN ST,Charlottesville Police,11-22-2016 2:10 AM
ASSAULT-SIMPLE,201649041,300 BLOCK 15TH ST NW,Charlottesville Police,11-20-2016 7:00 AM
BURGLARY/BREAKING AND ENTERING,201648973,500 BLOCK RUGBY RD,Charlottesville Police,11-19-2016 4:42 PM
LARCENY-ALL OTHER LARCENY,201648807,200 BLOCK 14TH ST NW,Charlottesville Police,11-18-2016 12:31 PM
VANDALISM/DAMAGE/DESTRUCTION OF PROPERTY,201648698,400 BLOCK 14TH ST NW,Charlottesville Police,11-17-2016 6:09 PM
ASSAULT-SIMPLE,201648583,1000 BLOCK CHERRY AVE,Charlottesville Police,11-16-2016 9:30 AM
DRUG/NARCOTIC VIOLATION,201648391,200 BLOCK 14TH ST NW,Charlottesville Police,11-14-2016 4:30 PM
MOTOR VEHICLE THEFT/STOLEN AUTO,201648368,800 BLOCK CHERRY AVE,Charlottesville Police,11-14-2016 2:27 PM
ASSAULT-AGGRAVATED,201648286,100 BLOCK MADISON LN,Charlottesville Police,11-13-2016 11:00 AM
ASSAULT-AGGRAVATED,201648327,11TH ST NW AND GRADY,Charlottesville Police,11-13-2016 12:01 AM
ASSAULT-SIMPLE,201648115,100 BLOCK 14 TH ST NW,Charlottesville Police,11-12-2016 5:27 AM
ASSAULT-SIMPLE,201647966,300 BLOCK 10TH ST NW,Charlottesville Police,11-11-2016 7:57 AM
ASSAULT-SIMPLE,201647946,1500 BLOCK GORDON AVE,Charlottesville Police,11-10-2016 11:37 PM
